ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E7424159027342E45,2023-05-13 00:00:00,001,颗粒物,1.372,10,,0,0,2023-05-14T12:35:04.157,2023-05-15T14:30:21.9,20230513
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E7424159027342E45,2023-05-13 00:00:00,002,二氧化硫,1.55,50,,0,0,2023-05-14T12:35:04.157,2023-05-15T14:30:21.9,20230513
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E7424159027342E45,2023-05-13 00:00:00,003,氮氧化物,59.9,200,,0,0,2023-05-14T12:35:04.153,2023-05-15T14:30:21.9,20230513
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E7424159027342E45,2023-05-13 00:00:00,004,一氧化碳,9.759,50,,0,0,2023-05-14T12:35:04.157,2023-05-15T14:30:21.9,20230513
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E7424159027342E45,2023-05-13 00:00:00,008,氯化氢,2.304,10,,0,0,2023-05-14T12:35:04.157,2023-05-15T14:30:21.9,20230513
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48EF7E9AB55889E82E9,2023-05-13 00:00:00,001,颗粒物,1.275,10,,0,0,2023-05-14T12:35:04.153,2023-05-15T14:30:21.9,20230513
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48EF7E9AB55889E82E9,2023-05-13 00:00:00,002,二氧化硫,5.65,50,,0,0,2023-05-14T12:35:04.153,2023-05-15T14:30:21.9,20230513
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48EF7E9AB55889E82E9,2023-05-13 00:00:00,003,氮氧化物,59.5,200,,0,0,2023-05-14T12:35:04.15,2023-05-15T14:30:21.9,20230513
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48EF7E9AB55889E82E9,2023-05-13 00:00:00,004,一氧化碳,7.396,50,,0,0,2023-05-14T12:35:04.15,2023-05-15T14:30:21.9,20230513
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48EF7E9AB55889E82E9,2023-05-13 00:00:00,008,氯化氢,3.152,10,,0,0,2023-05-14T12:35:04.15,2023-05-15T14:30:21.9,20230513
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48EA6856E57B34221E4,2023-05-13 00:00:00,001,颗粒物,1.659,10,,0,0,2023-05-14T12:35:04.13,2023-05-15T14:30:21.9,20230513
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48EA6856E57B34221E4,2023-05-13 00:00:00,002,二氧化硫,2.48,50,,0,0,2023-05-14T12:35:04.13,2023-05-15T14:30:21.9,20230513
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48EA6856E57B34221E4,2023-05-13 00:00:00,003,氮氧化物,58.8,200,,0,0,2023-05-14T12:35:04.127,2023-05-15T14:30:21.9,20230513
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48EA6856E57B34221E4,2023-05-13 00:00:00,004,一氧化碳,9.993,50,,0,0,2023-05-14T12:35:04.13,2023-05-15T14:30:21.9,20230513
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48EA6856E57B34221E4,2023-05-13 00:00:00,008,氯化氢,0.758,10,,0,0,2023-05-14T12:35:04.13,2023-05-15T14:30:21.9,20230513
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E015385ADAE3D4FF5,2023-05-13 00:00:00,001,颗粒物,2.221,10,,0,0,2023-05-14T12:35:03.357,2023-05-14T12:35:03.357,20230513
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E015385ADAE3D4FF5,2023-05-13 00:00:00,002,二氧化硫,4.36,50,,0,0,2023-05-14T12:35:03.357,2023-05-14T12:35:03.357,20230513
F3AB5916A417E48E2212DCACED2EF626,F3AB5916A417E48E015385ADAE3D4FF5,2023-05-13 00:00:00,003,氮氧化物,57.353,200,,0,0,2023-05-14T12:35:03.357,2023-05-14T12:35:03.357,20230513
