ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
2B70DC7FC6D727FE50D0453C91CE622A,2B70DC7FC6D727FE9E31F0AD1C284567,2023-05-18 00:00:00,001,颗粒物,0.313,20,,0,0,2023-05-19T12:35:08.63,2023-05-20T14:31:01.413,20230518
2B70DC7FC6D727FE50D0453C91CE622A,2B70DC7FC6D727FE9E31F0AD1C284567,2023-05-18 00:00:00,002,二氧化硫,12.547,80,,0,0,2023-05-19T12:35:08.63,2023-05-20T14:31:01.413,20230518
2B70DC7FC6D727FE50D0453C91CE622A,2B70DC7FC6D727FE9E31F0AD1C284567,2023-05-18 00:00:00,003,氮氧化物,164.957,250,,0,0,2023-05-19T12:35:08.63,2023-05-20T14:31:01.413,20230518
2B70DC7FC6D727FE50D0453C91CE622A,2B70DC7FC6D727FE9E31F0AD1C284567,2023-05-18 00:00:00,004,一氧化碳,4.602,80,,0,0,2023-05-19T12:35:08.63,2023-05-20T14:31:01.413,20230518
2B70DC7FC6D727FE50D0453C91CE622A,2B70DC7FC6D727FE9E31F0AD1C284567,2023-05-18 00:00:00,008,氯化氢,9.187,50,,0,0,2023-05-19T12:35:08.633,2023-05-20T14:31:01.413,20230518
2B70DC7FC6D727FE50D0453C91CE622A,2B70DC7FC6D727FE0721B434280707D3,2023-05-18 00:00:00,001,颗粒物,8.974,20,,0,0,2023-05-19T12:35:08.163,2023-05-19T12:35:08.163,20230518
2B70DC7FC6D727FE50D0453C91CE622A,2B70DC7FC6D727FE0721B434280707D3,2023-05-18 00:00:00,002,二氧化硫,15.14,80,,0,0,2023-05-19T12:35:08.163,2023-05-19T12:35:08.163,20230518
2B70DC7FC6D727FE50D0453C91CE622A,2B70DC7FC6D727FE0721B434280707D3,2023-05-18 00:00:00,003,氮氧化物,173.908,250,,0,0,2023-05-19T12:35:08.163,2023-05-19T12:35:08.163,20230518
2B70DC7FC6D727FE50D0453C91CE622A,2B70DC7FC6D727FE0721B434280707D3,2023-05-18 00:00:00,004,一氧化碳,2.346,80,,0,0,2023-05-19T12:35:08.167,2023-05-19T12:35:08.167,20230518
2B70DC7FC6D727FE50D0453C91CE622A,2B70DC7FC6D727FE0721B434280707D3,2023-05-18 00:00:00,008,氯化氢,15.632,50,,0,0,2023-05-19T12:35:08.167,2023-05-19T12:35:08.167,20230518
2B70DC7FC6D727FE50D0453C91CE622A,2B70DC7FC6D727FE2B013D8BCCBFD57F,2023-05-18 00:00:00,001,颗粒物,,20,,0,0,2023-05-19T12:35:08.173,2023-05-21T14:30:22.987,20230518
2B70DC7FC6D727FE50D0453C91CE622A,2B70DC7FC6D727FE2B013D8BCCBFD57F,2023-05-18 00:00:00,002,二氧化硫,,80,,0,0,2023-05-19T12:35:08.173,2023-05-21T14:30:22.987,20230518
2B70DC7FC6D727FE50D0453C91CE622A,2B70DC7FC6D727FE2B013D8BCCBFD57F,2023-05-18 00:00:00,003,氮氧化物,,250,,0,0,2023-05-19T12:35:08.177,2023-05-21T14:30:22.987,20230518
2B70DC7FC6D727FE50D0453C91CE622A,2B70DC7FC6D727FE2B013D8BCCBFD57F,2023-05-18 00:00:00,004,一氧化碳,,80,,0,0,2023-05-19T12:35:08.177,2023-05-21T14:30:22.987,20230518
2B70DC7FC6D727FE50D0453C91CE622A,2B70DC7FC6D727FE2B013D8BCCBFD57F,2023-05-18 00:00:00,008,氯化氢,,50,,0,0,2023-05-19T12:35:08.177,2023-05-21T14:30:22.987,20230518
