ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
FE995D3ED899F2F53AB22481C41C8EB1,FE995D3ED899F2F5BCAF3F5306141393,2023-05-04 00:00:00,001,颗粒物,2.235,20,,0,0,2023-05-05T12:35:04.34,2023-05-06T14:32:45.73,20230504
FE995D3ED899F2F53AB22481C41C8EB1,FE995D3ED899F2F5BCAF3F5306141393,2023-05-04 00:00:00,002,二氧化硫,24.52,80,,0,0,2023-05-05T12:35:04.34,2023-05-06T14:32:45.73,20230504
FE995D3ED899F2F53AB22481C41C8EB1,FE995D3ED899F2F5BCAF3F5306141393,2023-05-04 00:00:00,003,氮氧化物,126.838,250,,0,0,2023-05-05T12:35:04.34,2023-05-06T14:32:45.73,20230504
FE995D3ED899F2F53AB22481C41C8EB1,FE995D3ED899F2F5BCAF3F5306141393,2023-05-04 00:00:00,004,一氧化碳,2.155,80,,0,0,2023-05-05T12:35:04.34,2023-05-06T14:32:45.73,20230504
FE995D3ED899F2F53AB22481C41C8EB1,FE995D3ED899F2F5BCAF3F5306141393,2023-05-04 00:00:00,008,氯化氢,29.306,50,,0,0,2023-05-05T12:35:04.34,2023-05-06T14:32:45.73,20230504
FE995D3ED899F2F53AB22481C41C8EB1,FE995D3ED899F2F575AB092D8C2815D6,2023-05-04 00:00:00,001,颗粒物,2.268,20,,0,0,2023-05-05T12:35:04.377,2023-05-06T14:32:45.73,20230504
FE995D3ED899F2F53AB22481C41C8EB1,FE995D3ED899F2F575AB092D8C2815D6,2023-05-04 00:00:00,002,二氧化硫,26.146,80,,0,0,2023-05-05T12:35:04.377,2023-05-06T14:32:45.73,20230504
FE995D3ED899F2F53AB22481C41C8EB1,FE995D3ED899F2F575AB092D8C2815D6,2023-05-04 00:00:00,003,氮氧化物,85.53,250,,0,0,2023-05-05T12:35:04.377,2023-05-06T14:32:45.73,20230504
FE995D3ED899F2F53AB22481C41C8EB1,FE995D3ED899F2F575AB092D8C2815D6,2023-05-04 00:00:00,004,一氧化碳,2.229,80,,0,0,2023-05-05T12:35:04.377,2023-05-06T14:32:45.73,20230504
FE995D3ED899F2F53AB22481C41C8EB1,FE995D3ED899F2F575AB092D8C2815D6,2023-05-04 00:00:00,008,氯化氢,27.321,50,,0,0,2023-05-05T12:35:04.377,2023-05-06T14:32:45.73,20230504
