ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
9F0B28E82A18B928B77D31D0023D4C63,9F0B28E82A18B9288C75E9AFE1ABBFC7,2023-05-10 00:00:00,001,颗粒物,0.583,20,,0,0,2023-05-11T12:35:06.94,2023-05-12T14:31:47.85,20230510
9F0B28E82A18B928B77D31D0023D4C63,9F0B28E82A18B9288C75E9AFE1ABBFC7,2023-05-10 00:00:00,002,二氧化硫,59.455,80,,0,0,2023-05-11T12:35:06.94,2023-05-12T14:31:47.85,20230510
9F0B28E82A18B928B77D31D0023D4C63,9F0B28E82A18B9288C75E9AFE1ABBFC7,2023-05-10 00:00:00,003,氮氧化物,235.998,250,,0,0,2023-05-11T12:35:06.937,2023-05-12T14:31:47.85,20230510
9F0B28E82A18B928B77D31D0023D4C63,9F0B28E82A18B9288C75E9AFE1ABBFC7,2023-05-10 00:00:00,004,一氧化碳,1.633,80,,0,0,2023-05-11T12:35:06.937,2023-05-12T14:31:47.85,20230510
9F0B28E82A18B928B77D31D0023D4C63,9F0B28E82A18B9288C75E9AFE1ABBFC7,2023-05-10 00:00:00,008,氯化氢,3.188,50,,0,0,2023-05-11T12:35:06.937,2023-05-12T14:31:47.85,20230510
9F0B28E82A18B928B77D31D0023D4C63,9F0B28E82A18B9284EA9A7C4B2FBEF0C,2023-05-10 00:00:00,001,颗粒物,0.378,20,,0,0,2023-05-11T12:35:07.38,2023-05-12T14:31:47.85,20230510
9F0B28E82A18B928B77D31D0023D4C63,9F0B28E82A18B9284EA9A7C4B2FBEF0C,2023-05-10 00:00:00,002,二氧化硫,51.333,80,,0,0,2023-05-11T12:35:07.38,2023-05-12T14:31:47.85,20230510
9F0B28E82A18B928B77D31D0023D4C63,9F0B28E82A18B9284EA9A7C4B2FBEF0C,2023-05-10 00:00:00,003,氮氧化物,224.084,250,,0,0,2023-05-11T12:35:07.38,2023-05-12T14:31:47.85,20230510
9F0B28E82A18B928B77D31D0023D4C63,9F0B28E82A18B9284EA9A7C4B2FBEF0C,2023-05-10 00:00:00,004,一氧化碳,0.539,80,,0,0,2023-05-11T12:35:07.38,2023-05-12T14:31:47.85,20230510
9F0B28E82A18B928B77D31D0023D4C63,9F0B28E82A18B9284EA9A7C4B2FBEF0C,2023-05-10 00:00:00,008,氯化氢,5.364,50,,0,0,2023-05-11T12:35:07.38,2023-05-12T14:31:47.85,20230510
