ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
F3E34C08C5C84F5A36572CA214C78869,F3E34C08C5C84F5A4035FC20B84BCE04,2023-05-03 00:00:00,001,颗粒物,1.77,20,,0,0,2023-05-04T12:35:06.557,2023-05-04T12:35:06.557,20230503
F3E34C08C5C84F5A36572CA214C78869,F3E34C08C5C84F5A4035FC20B84BCE04,2023-05-03 00:00:00,002,二氧化硫,25.8,80,,0,0,2023-05-04T12:35:06.557,2023-05-04T12:35:06.557,20230503
F3E34C08C5C84F5A36572CA214C78869,F3E34C08C5C84F5A4035FC20B84BCE04,2023-05-03 00:00:00,003,氮氧化物,172.979,250,,0,0,2023-05-04T12:35:06.557,2023-05-04T12:35:06.557,20230503
F3E34C08C5C84F5A36572CA214C78869,F3E34C08C5C84F5A4035FC20B84BCE04,2023-05-03 00:00:00,004,一氧化碳,2.99,80,,0,0,2023-05-04T12:35:06.557,2023-05-04T12:35:06.557,20230503
F3E34C08C5C84F5A36572CA214C78869,F3E34C08C5C84F5A4035FC20B84BCE04,2023-05-03 00:00:00,008,氯化氢,8.359,50,,0,0,2023-05-04T12:35:06.557,2023-05-04T12:35:06.557,20230503
F3E34C08C5C84F5A36572CA214C78869,F3E34C08C5C84F5AB8C1A16A640ADE1E,2023-05-03 00:00:00,001,颗粒物,1.57,20,,0,0,2023-05-04T12:35:06.56,2023-05-04T12:35:06.56,20230503
F3E34C08C5C84F5A36572CA214C78869,F3E34C08C5C84F5AB8C1A16A640ADE1E,2023-05-03 00:00:00,002,二氧化硫,4.87,80,,0,0,2023-05-04T12:35:06.563,2023-05-04T12:35:06.563,20230503
F3E34C08C5C84F5A36572CA214C78869,F3E34C08C5C84F5AB8C1A16A640ADE1E,2023-05-03 00:00:00,003,氮氧化物,168.78,250,,0,0,2023-05-04T12:35:06.563,2023-05-04T12:35:06.563,20230503
F3E34C08C5C84F5A36572CA214C78869,F3E34C08C5C84F5AB8C1A16A640ADE1E,2023-05-03 00:00:00,004,一氧化碳,1.469,80,,0,0,2023-05-04T12:35:06.563,2023-05-04T12:35:06.563,20230503
F3E34C08C5C84F5A36572CA214C78869,F3E34C08C5C84F5AB8C1A16A640ADE1E,2023-05-03 00:00:00,008,氯化氢,8.83,50,,0,0,2023-05-04T12:35:06.563,2023-05-04T12:35:06.563,20230503
