ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
B93B47F2D75838505A64121665DA05C1,B93B47F2D75838503C80BFAD4D6562D8,2023-05-24 00:00:00,001,颗粒物,2.257,20,,0,0,2023-05-25T12:35:06.27,2023-05-25T12:35:06.27,20230524
B93B47F2D75838505A64121665DA05C1,B93B47F2D75838503C80BFAD4D6562D8,2023-05-24 00:00:00,002,二氧化硫,24.109,80,,0,0,2023-05-25T12:35:06.27,2023-05-25T12:35:06.27,20230524
B93B47F2D75838505A64121665DA05C1,B93B47F2D75838503C80BFAD4D6562D8,2023-05-24 00:00:00,003,氮氧化物,61.258,250,,0,0,2023-05-25T12:35:06.27,2023-05-25T12:35:06.27,20230524
B93B47F2D75838505A64121665DA05C1,B93B47F2D75838503C80BFAD4D6562D8,2023-05-24 00:00:00,004,一氧化碳,18.321,80,,0,0,2023-05-25T12:35:06.27,2023-05-25T12:35:06.27,20230524
B93B47F2D75838505A64121665DA05C1,B93B47F2D75838503C80BFAD4D6562D8,2023-05-24 00:00:00,008,氯化氢,1.201,50,,0,0,2023-05-25T12:35:06.27,2023-05-25T12:35:06.27,20230524
B93B47F2D75838505A64121665DA05C1,B93B47F2D7583850973EB68822DE90A6,2023-05-24 00:00:00,001,颗粒物,2.218,20,,0,0,2023-05-25T12:35:06.27,2023-05-25T12:35:06.27,20230524
B93B47F2D75838505A64121665DA05C1,B93B47F2D7583850973EB68822DE90A6,2023-05-24 00:00:00,002,二氧化硫,7.74,80,,0,0,2023-05-25T12:35:06.27,2023-05-25T12:35:06.27,20230524
B93B47F2D75838505A64121665DA05C1,B93B47F2D7583850973EB68822DE90A6,2023-05-24 00:00:00,003,氮氧化物,63.015,250,,0,0,2023-05-25T12:35:06.273,2023-05-25T12:35:06.273,20230524
B93B47F2D75838505A64121665DA05C1,B93B47F2D7583850973EB68822DE90A6,2023-05-24 00:00:00,004,一氧化碳,6.671,80,,0,0,2023-05-25T12:35:06.273,2023-05-25T12:35:06.273,20230524
B93B47F2D75838505A64121665DA05C1,B93B47F2D7583850973EB68822DE90A6,2023-05-24 00:00:00,008,氯化氢,0.645,50,,0,0,2023-05-25T12:35:06.273,2023-05-25T12:35:06.273,20230524
