ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
4588CB97B8AEEC9609C12FE074631990,4588CB97B8AEEC96CCB18E6C463367BA,2023-05-20 00:00:00,001,颗粒物,0.937,20,,0,0,2023-05-21T12:35:08.723,2023-05-22T14:30:42.57,20230520
4588CB97B8AEEC9609C12FE074631990,4588CB97B8AEEC96CCB18E6C463367BA,2023-05-20 00:00:00,002,二氧化硫,6.72,80,,0,0,2023-05-21T12:35:08.727,2023-05-22T14:30:42.57,20230520
4588CB97B8AEEC9609C12FE074631990,4588CB97B8AEEC96CCB18E6C463367BA,2023-05-20 00:00:00,003,氮氧化物,70.069,250,,0,0,2023-05-21T12:35:08.73,2023-05-22T14:30:42.57,20230520
4588CB97B8AEEC9609C12FE074631990,4588CB97B8AEEC96CCB18E6C463367BA,2023-05-20 00:00:00,004,一氧化碳,2.253,80,,0,0,2023-05-21T12:35:08.737,2023-05-22T14:30:42.57,20230520
4588CB97B8AEEC9609C12FE074631990,4588CB97B8AEEC96CCB18E6C463367BA,2023-05-20 00:00:00,008,氯化氢,1.051,50,,0,0,2023-05-21T12:35:08.74,2023-05-22T14:30:42.57,20230520
4588CB97B8AEEC9609C12FE074631990,4588CB97B8AEEC9686E7B6032A77A010,2023-05-20 00:00:00,001,颗粒物,,20,CEMS维护,0,0,2023-05-21T12:35:10.117,2023-05-29T14:31:18.737,20230520
4588CB97B8AEEC9609C12FE074631990,4588CB97B8AEEC9686E7B6032A77A010,2023-05-20 00:00:00,002,二氧化硫,,80,CEMS维护,0,0,2023-05-21T12:35:10.12,2023-05-29T14:31:18.737,20230520
4588CB97B8AEEC9609C12FE074631990,4588CB97B8AEEC9686E7B6032A77A010,2023-05-20 00:00:00,003,氮氧化物,,250,CEMS维护,0,0,2023-05-21T12:35:10.127,2023-05-29T14:31:18.737,20230520
4588CB97B8AEEC9609C12FE074631990,4588CB97B8AEEC9686E7B6032A77A010,2023-05-20 00:00:00,004,一氧化碳,,80,CEMS维护,0,0,2023-05-21T12:35:10.13,2023-05-29T14:31:18.737,20230520
4588CB97B8AEEC9609C12FE074631990,4588CB97B8AEEC9686E7B6032A77A010,2023-05-20 00:00:00,008,氯化氢,,50,CEMS维护,0,0,2023-05-21T12:35:10.133,2023-05-29T14:31:18.737,20230520
