ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
12B57166DB94E23949FB7FAA95DBE229465EDD0B802245C6B7BADA2AECF1B7B49B02D4BAE789863F,12B57166DB94E23949FB7FAA95DBE229C19602DAFF14585AD696C798F435C7317DAD138F25888694,2023-05-06 00:00:00,001,颗粒物,1.89,20,,0,0,2023-05-07T12:35:04.753,2023-05-08T14:32:56.33,20230506
12B57166DB94E23949FB7FAA95DBE229465EDD0B802245C6B7BADA2AECF1B7B49B02D4BAE789863F,12B57166DB94E23949FB7FAA95DBE229C19602DAFF14585AD696C798F435C7317DAD138F25888694,2023-05-06 00:00:00,002,二氧化硫,43.0,80,,0,0,2023-05-07T12:35:04.757,2023-05-08T14:32:56.33,20230506
12B57166DB94E23949FB7FAA95DBE229465EDD0B802245C6B7BADA2AECF1B7B49B02D4BAE789863F,12B57166DB94E23949FB7FAA95DBE229C19602DAFF14585AD696C798F435C7317DAD138F25888694,2023-05-06 00:00:00,003,氮氧化物,61.61,250,,0,0,2023-05-07T12:35:04.753,2023-05-08T14:32:56.33,20230506
12B57166DB94E23949FB7FAA95DBE229465EDD0B802245C6B7BADA2AECF1B7B49B02D4BAE789863F,12B57166DB94E23949FB7FAA95DBE229C19602DAFF14585AD696C798F435C7317DAD138F25888694,2023-05-06 00:00:00,004,一氧化碳,7.73,80,,0,0,2023-05-07T12:35:04.757,2023-05-08T14:32:56.33,20230506
12B57166DB94E23949FB7FAA95DBE229465EDD0B802245C6B7BADA2AECF1B7B49B02D4BAE789863F,12B57166DB94E23949FB7FAA95DBE229C19602DAFF14585AD696C798F435C7317DAD138F25888694,2023-05-06 00:00:00,008,氯化氢,0.068,50,,0,0,2023-05-07T12:35:04.757,2023-05-08T14:32:56.33,20230506
12B57166DB94E23949FB7FAA95DBE229465EDD0B802245C6B7BADA2AECF1B7B49B02D4BAE789863F,12B57166DB94E23949FB7FAA95DBE229A6FC846F5CC9D39E9910B65417725E5BF5578187F5D21BBB,2023-05-06 00:00:00,001,颗粒物,2.94,20,,0,0,2023-05-07T12:35:04.783,2023-05-08T14:32:56.33,20230506
12B57166DB94E23949FB7FAA95DBE229465EDD0B802245C6B7BADA2AECF1B7B49B02D4BAE789863F,12B57166DB94E23949FB7FAA95DBE229A6FC846F5CC9D39E9910B65417725E5BF5578187F5D21BBB,2023-05-06 00:00:00,002,二氧化硫,34.33,80,,0,0,2023-05-07T12:35:04.783,2023-05-08T14:32:56.33,20230506
12B57166DB94E23949FB7FAA95DBE229465EDD0B802245C6B7BADA2AECF1B7B49B02D4BAE789863F,12B57166DB94E23949FB7FAA95DBE229A6FC846F5CC9D39E9910B65417725E5BF5578187F5D21BBB,2023-05-06 00:00:00,003,氮氧化物,60.77,250,,0,0,2023-05-07T12:35:04.783,2023-05-08T14:32:56.33,20230506
12B57166DB94E23949FB7FAA95DBE229465EDD0B802245C6B7BADA2AECF1B7B49B02D4BAE789863F,12B57166DB94E23949FB7FAA95DBE229A6FC846F5CC9D39E9910B65417725E5BF5578187F5D21BBB,2023-05-06 00:00:00,004,一氧化碳,1.32,80,,0,0,2023-05-07T12:35:04.783,2023-05-08T14:32:56.33,20230506
12B57166DB94E23949FB7FAA95DBE229465EDD0B802245C6B7BADA2AECF1B7B49B02D4BAE789863F,12B57166DB94E23949FB7FAA95DBE229A6FC846F5CC9D39E9910B65417725E5BF5578187F5D21BBB,2023-05-06 00:00:00,008,氯化氢,0.269,50,,0,0,2023-05-07T12:35:04.783,2023-05-08T14:32:56.33,20230506
