ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
BE1788F5F9ED1ECAFD01A74915AA3A4C,BE1788F5F9ED1ECA4255601753981975,2023-05-13 00:00:00,001,颗粒物,2.28,20,,0,0,2023-05-14T12:35:06.54,2023-05-15T14:30:21.9,20230513
BE1788F5F9ED1ECAFD01A74915AA3A4C,BE1788F5F9ED1ECA4255601753981975,2023-05-13 00:00:00,002,二氧化硫,17.13,80,,0,0,2023-05-14T12:35:06.54,2023-05-15T14:30:21.9,20230513
BE1788F5F9ED1ECAFD01A74915AA3A4C,BE1788F5F9ED1ECA4255601753981975,2023-05-13 00:00:00,003,氮氧化物,64.54,250,,0,0,2023-05-14T12:35:06.54,2023-05-15T14:30:21.9,20230513
BE1788F5F9ED1ECAFD01A74915AA3A4C,BE1788F5F9ED1ECA4255601753981975,2023-05-13 00:00:00,004,一氧化碳,26.49,80,,0,0,2023-05-14T12:35:06.543,2023-05-15T14:30:21.9,20230513
BE1788F5F9ED1ECAFD01A74915AA3A4C,BE1788F5F9ED1ECA4255601753981975,2023-05-13 00:00:00,008,氯化氢,7.36,50,,0,0,2023-05-14T12:35:06.54,2023-05-15T14:30:21.9,20230513
BE1788F5F9ED1ECAFD01A74915AA3A4C,BE1788F5F9ED1ECA2427ED24B6D1F963,2023-05-13 00:00:00,001,颗粒物,1.37,20,,0,0,2023-05-14T12:35:06.51,2023-05-15T14:30:21.9,20230513
BE1788F5F9ED1ECAFD01A74915AA3A4C,BE1788F5F9ED1ECA2427ED24B6D1F963,2023-05-13 00:00:00,002,二氧化硫,14.76,80,,0,0,2023-05-14T12:35:06.51,2023-05-15T14:30:21.9,20230513
BE1788F5F9ED1ECAFD01A74915AA3A4C,BE1788F5F9ED1ECA2427ED24B6D1F963,2023-05-13 00:00:00,003,氮氧化物,60.12,250,,0,0,2023-05-14T12:35:06.51,2023-05-15T14:30:21.9,20230513
BE1788F5F9ED1ECAFD01A74915AA3A4C,BE1788F5F9ED1ECA2427ED24B6D1F963,2023-05-13 00:00:00,004,一氧化碳,20.91,80,,0,0,2023-05-14T12:35:06.51,2023-05-15T14:30:21.9,20230513
BE1788F5F9ED1ECAFD01A74915AA3A4C,BE1788F5F9ED1ECA2427ED24B6D1F963,2023-05-13 00:00:00,008,氯化氢,7.16,50,,0,0,2023-05-14T12:35:06.51,2023-05-15T14:30:21.9,20230513
