ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
17395CD8125F760BABFDD9839FDBBCC0,17395CD8125F760BB25367A23FBDBF00,2023-05-19 00:00:00,001,颗粒物,0.07,20,,0,0,2023-05-20T12:35:04.927,2023-05-21T14:30:22.987,20230519
17395CD8125F760BABFDD9839FDBBCC0,17395CD8125F760BB25367A23FBDBF00,2023-05-19 00:00:00,002,二氧化硫,27.96,80,,0,0,2023-05-20T12:35:04.927,2023-05-21T14:30:22.987,20230519
17395CD8125F760BABFDD9839FDBBCC0,17395CD8125F760BB25367A23FBDBF00,2023-05-19 00:00:00,003,氮氧化物,84.43,250,,0,0,2023-05-20T12:35:04.93,2023-05-21T14:30:22.987,20230519
17395CD8125F760BABFDD9839FDBBCC0,17395CD8125F760BB25367A23FBDBF00,2023-05-19 00:00:00,004,一氧化碳,9.8,80,,0,0,2023-05-20T12:35:04.93,2023-05-21T14:30:22.987,20230519
17395CD8125F760BABFDD9839FDBBCC0,17395CD8125F760BB25367A23FBDBF00,2023-05-19 00:00:00,008,氯化氢,3.44,50,,0,0,2023-05-20T12:35:04.93,2023-05-21T14:30:22.987,20230519
17395CD8125F760BABFDD9839FDBBCC0,17395CD8125F760B046DDD4C9741DE38,2023-05-19 00:00:00,001,颗粒物,0.34,20,,0,0,2023-05-20T12:35:04.97,2023-05-21T14:30:22.987,20230519
17395CD8125F760BABFDD9839FDBBCC0,17395CD8125F760B046DDD4C9741DE38,2023-05-19 00:00:00,002,二氧化硫,26.38,80,,0,0,2023-05-20T12:35:04.97,2023-05-21T14:30:22.987,20230519
17395CD8125F760BABFDD9839FDBBCC0,17395CD8125F760B046DDD4C9741DE38,2023-05-19 00:00:00,003,氮氧化物,82.21,250,,0,0,2023-05-20T12:35:04.97,2023-05-21T14:30:22.987,20230519
17395CD8125F760BABFDD9839FDBBCC0,17395CD8125F760B046DDD4C9741DE38,2023-05-19 00:00:00,004,一氧化碳,3.69,80,,0,0,2023-05-20T12:35:04.97,2023-05-21T14:30:22.987,20230519
17395CD8125F760BABFDD9839FDBBCC0,17395CD8125F760B046DDD4C9741DE38,2023-05-19 00:00:00,008,氯化氢,3.11,50,,0,0,2023-05-20T12:35:04.97,2023-05-21T14:30:22.987,20230519
