ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A46E236C89F4666E0,2023-05-04 00:00:00,001,颗粒物,2.268,20,,0,0,2023-05-05T12:35:06.417,2023-05-06T14:32:45.73,20230504
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A46E236C89F4666E0,2023-05-04 00:00:00,002,二氧化硫,49.698,80,,0,0,2023-05-05T12:35:06.417,2023-05-06T14:32:45.73,20230504
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A46E236C89F4666E0,2023-05-04 00:00:00,003,氮氧化物,152.934,250,,0,0,2023-05-05T12:35:06.417,2023-05-06T14:32:45.73,20230504
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A46E236C89F4666E0,2023-05-04 00:00:00,004,一氧化碳,0.379,80,,0,0,2023-05-05T12:35:06.417,2023-05-06T14:32:45.73,20230504
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A46E236C89F4666E0,2023-05-04 00:00:00,008,氯化氢,6.359,50,,0,0,2023-05-05T12:35:06.417,2023-05-06T14:32:45.73,20230504
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A28CE81E8B81BC5CF,2023-05-04 00:00:00,001,颗粒物,2.31,20,,0,0,2023-05-05T12:35:06.277,2023-05-06T14:32:45.73,20230504
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A28CE81E8B81BC5CF,2023-05-04 00:00:00,002,二氧化硫,51.713,80,,0,0,2023-05-05T12:35:06.277,2023-05-06T14:32:45.73,20230504
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A28CE81E8B81BC5CF,2023-05-04 00:00:00,003,氮氧化物,121.64,250,,0,0,2023-05-05T12:35:06.277,2023-05-06T14:32:45.73,20230504
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A28CE81E8B81BC5CF,2023-05-04 00:00:00,004,一氧化碳,6.699,80,,0,0,2023-05-05T12:35:06.277,2023-05-06T14:32:45.73,20230504
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A28CE81E8B81BC5CF,2023-05-04 00:00:00,008,氯化氢,4.735,50,,0,0,2023-05-05T12:35:06.277,2023-05-06T14:32:45.73,20230504
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A8D6FA5FF17D0CBF9,2023-05-04 00:00:00,001,颗粒物,2.112,20,,0,0,2023-05-05T12:35:06.26,2023-05-06T14:32:45.73,20230504
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A8D6FA5FF17D0CBF9,2023-05-04 00:00:00,002,二氧化硫,49.815,80,,0,0,2023-05-05T12:35:06.26,2023-05-06T14:32:45.73,20230504
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A8D6FA5FF17D0CBF9,2023-05-04 00:00:00,003,氮氧化物,125.45,250,,0,0,2023-05-05T12:35:06.26,2023-05-06T14:32:45.73,20230504
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A8D6FA5FF17D0CBF9,2023-05-04 00:00:00,004,一氧化碳,2.182,80,,0,0,2023-05-05T12:35:06.263,2023-05-06T14:32:45.73,20230504
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A8D6FA5FF17D0CBF9,2023-05-04 00:00:00,008,氯化氢,7.58,50,,0,0,2023-05-05T12:35:06.263,2023-05-06T14:32:45.73,20230504
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0AD4F296D2E670CB43,2023-05-04 00:00:00,001,颗粒物,2.404,20,,0,0,2023-05-05T12:35:06.263,2023-05-06T14:32:45.73,20230504
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0AD4F296D2E670CB43,2023-05-04 00:00:00,002,二氧化硫,53.438,80,,0,0,2023-05-05T12:35:06.263,2023-05-06T14:32:45.73,20230504
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0AD4F296D2E670CB43,2023-05-04 00:00:00,003,氮氧化物,139.719,250,,0,0,2023-05-05T12:35:06.263,2023-05-06T14:32:45.73,20230504
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0AD4F296D2E670CB43,2023-05-04 00:00:00,004,一氧化碳,1.801,80,,0,0,2023-05-05T12:35:06.263,2023-05-06T14:32:45.73,20230504
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0AD4F296D2E670CB43,2023-05-04 00:00:00,008,氯化氢,10.008,50,,0,0,2023-05-05T12:35:06.263,2023-05-06T14:32:45.73,20230504
