ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
4D9E693BDA49EC60DB7C68576BD18CEB16946DA0FD74F99080F72086CAC04513ACD10271DEC5D39B,4D9E693BDA49EC60DB7C68576BD18CEB52F0304044550FEA1F7F7EFD2A32BB95608C04A632CA6F53,2023-05-24 00:00:00,001,颗粒物,1.471,20,,0,0,2023-05-25T12:35:08.067,2023-05-26T14:31:13.407,20230524
4D9E693BDA49EC60DB7C68576BD18CEB16946DA0FD74F99080F72086CAC04513ACD10271DEC5D39B,4D9E693BDA49EC60DB7C68576BD18CEB52F0304044550FEA1F7F7EFD2A32BB95608C04A632CA6F53,2023-05-24 00:00:00,002,二氧化硫,65.829,80,,0,0,2023-05-25T12:35:08.067,2023-05-26T14:31:13.407,20230524
4D9E693BDA49EC60DB7C68576BD18CEB16946DA0FD74F99080F72086CAC04513ACD10271DEC5D39B,4D9E693BDA49EC60DB7C68576BD18CEB52F0304044550FEA1F7F7EFD2A32BB95608C04A632CA6F53,2023-05-24 00:00:00,003,氮氧化物,201.037,250,,0,0,2023-05-25T12:35:08.067,2023-05-26T14:31:13.407,20230524
4D9E693BDA49EC60DB7C68576BD18CEB16946DA0FD74F99080F72086CAC04513ACD10271DEC5D39B,4D9E693BDA49EC60DB7C68576BD18CEB52F0304044550FEA1F7F7EFD2A32BB95608C04A632CA6F53,2023-05-24 00:00:00,004,一氧化碳,1.03,80,,0,0,2023-05-25T12:35:08.067,2023-05-26T14:31:13.407,20230524
4D9E693BDA49EC60DB7C68576BD18CEB16946DA0FD74F99080F72086CAC04513ACD10271DEC5D39B,4D9E693BDA49EC60DB7C68576BD18CEB52F0304044550FEA1F7F7EFD2A32BB95608C04A632CA6F53,2023-05-24 00:00:00,008,氯化氢,4.104,50,,0,0,2023-05-25T12:35:08.067,2023-05-26T14:31:13.407,20230524
4D9E693BDA49EC60DB7C68576BD18CEB16946DA0FD74F99080F72086CAC04513ACD10271DEC5D39B,4D9E693BDA49EC60DB7C68576BD18CEBA38FD21D5F2502C07222D4DF1D257CCF59D2727CD2953CF7,2023-05-24 00:00:00,001,颗粒物,1.166,20,,0,0,2023-05-25T12:35:08.09,2023-05-26T14:31:13.407,20230524
4D9E693BDA49EC60DB7C68576BD18CEB16946DA0FD74F99080F72086CAC04513ACD10271DEC5D39B,4D9E693BDA49EC60DB7C68576BD18CEBA38FD21D5F2502C07222D4DF1D257CCF59D2727CD2953CF7,2023-05-24 00:00:00,002,二氧化硫,61.102,80,,0,0,2023-05-25T12:35:08.09,2023-05-26T14:31:13.407,20230524
4D9E693BDA49EC60DB7C68576BD18CEB16946DA0FD74F99080F72086CAC04513ACD10271DEC5D39B,4D9E693BDA49EC60DB7C68576BD18CEBA38FD21D5F2502C07222D4DF1D257CCF59D2727CD2953CF7,2023-05-24 00:00:00,003,氮氧化物,198.106,250,,0,0,2023-05-25T12:35:08.09,2023-05-26T14:31:13.407,20230524
4D9E693BDA49EC60DB7C68576BD18CEB16946DA0FD74F99080F72086CAC04513ACD10271DEC5D39B,4D9E693BDA49EC60DB7C68576BD18CEBA38FD21D5F2502C07222D4DF1D257CCF59D2727CD2953CF7,2023-05-24 00:00:00,004,一氧化碳,1.085,80,,0,0,2023-05-25T12:35:08.09,2023-05-26T14:31:13.407,20230524
4D9E693BDA49EC60DB7C68576BD18CEB16946DA0FD74F99080F72086CAC04513ACD10271DEC5D39B,4D9E693BDA49EC60DB7C68576BD18CEBA38FD21D5F2502C07222D4DF1D257CCF59D2727CD2953CF7,2023-05-24 00:00:00,008,氯化氢,5.954,50,,0,0,2023-05-25T12:35:08.09,2023-05-26T14:31:13.407,20230524
