ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
FFFCDA5F7E0108107FFE4F5CC732AA6B,FFFCDA5F7E010810C05DEFF6E1D1E69B,2023-05-13 00:00:00,001,颗粒物,10.691,20,,0,0,2023-05-14T12:35:05.687,2023-05-15T14:30:21.9,20230513
FFFCDA5F7E0108107FFE4F5CC732AA6B,FFFCDA5F7E010810C05DEFF6E1D1E69B,2023-05-13 00:00:00,002,二氧化硫,36.984,80,,0,0,2023-05-14T12:35:05.687,2023-05-15T14:30:21.9,20230513
FFFCDA5F7E0108107FFE4F5CC732AA6B,FFFCDA5F7E010810C05DEFF6E1D1E69B,2023-05-13 00:00:00,003,氮氧化物,171.034,250,,0,0,2023-05-14T12:35:05.687,2023-05-15T14:30:21.9,20230513
FFFCDA5F7E0108107FFE4F5CC732AA6B,FFFCDA5F7E010810C05DEFF6E1D1E69B,2023-05-13 00:00:00,004,一氧化碳,8.872,80,,0,0,2023-05-14T12:35:05.687,2023-05-15T14:30:21.9,20230513
FFFCDA5F7E0108107FFE4F5CC732AA6B,FFFCDA5F7E010810C05DEFF6E1D1E69B,2023-05-13 00:00:00,008,氯化氢,33.416,50,,0,0,2023-05-14T12:35:05.687,2023-05-15T14:30:21.9,20230513
FFFCDA5F7E0108107FFE4F5CC732AA6B,FFFCDA5F7E010810620EE96A76351380,2023-05-13 00:00:00,001,颗粒物,4.68,20,,0,0,2023-05-14T12:35:05.677,2023-05-15T14:30:21.9,20230513
FFFCDA5F7E0108107FFE4F5CC732AA6B,FFFCDA5F7E010810620EE96A76351380,2023-05-13 00:00:00,002,二氧化硫,47.786,80,,0,0,2023-05-14T12:35:05.677,2023-05-15T14:30:21.9,20230513
FFFCDA5F7E0108107FFE4F5CC732AA6B,FFFCDA5F7E010810620EE96A76351380,2023-05-13 00:00:00,003,氮氧化物,148.599,250,,0,0,2023-05-14T12:35:05.68,2023-05-15T14:30:21.9,20230513
FFFCDA5F7E0108107FFE4F5CC732AA6B,FFFCDA5F7E010810620EE96A76351380,2023-05-13 00:00:00,004,一氧化碳,18.227,80,,0,0,2023-05-14T12:35:05.68,2023-05-15T14:30:21.9,20230513
FFFCDA5F7E0108107FFE4F5CC732AA6B,FFFCDA5F7E010810620EE96A76351380,2023-05-13 00:00:00,008,氯化氢,37.046,50,,0,0,2023-05-14T12:35:05.68,2023-05-15T14:30:21.9,20230513
