ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
8596B8966E54921F8F3C209CD27B54BE,8596B8966E54921F9374729E3EB4A7BF,2023-05-22 00:00:00,001,颗粒物,0.485,20,,0,0,2023-05-23T12:35:06.47,2023-05-23T12:35:06.47,20230522
8596B8966E54921F8F3C209CD27B54BE,8596B8966E54921F9374729E3EB4A7BF,2023-05-22 00:00:00,002,二氧化硫,17.3,80,,0,0,2023-05-23T12:35:06.47,2023-05-23T12:35:06.47,20230522
8596B8966E54921F8F3C209CD27B54BE,8596B8966E54921F9374729E3EB4A7BF,2023-05-22 00:00:00,003,氮氧化物,109.959,150,,0,0,2023-05-23T12:35:06.47,2023-05-23T12:35:06.47,20230522
8596B8966E54921F8F3C209CD27B54BE,8596B8966E54921F9374729E3EB4A7BF,2023-05-22 00:00:00,004,一氧化碳,1.308,80,,0,0,2023-05-23T12:35:06.473,2023-05-23T12:35:06.473,20230522
8596B8966E54921F8F3C209CD27B54BE,8596B8966E54921F9374729E3EB4A7BF,2023-05-22 00:00:00,008,氯化氢,6.658,20,,0,0,2023-05-23T12:35:06.473,2023-05-23T12:35:06.473,20230522
8596B8966E54921F8F3C209CD27B54BE,8596B8966E54921F40A9D7E9B815CAEB,2023-05-22 00:00:00,001,颗粒物,0.651,20,,0,0,2023-05-23T12:35:06.46,2023-05-23T12:35:06.46,20230522
8596B8966E54921F8F3C209CD27B54BE,8596B8966E54921F40A9D7E9B815CAEB,2023-05-22 00:00:00,002,二氧化硫,17.885,80,,0,0,2023-05-23T12:35:06.46,2023-05-23T12:35:06.46,20230522
8596B8966E54921F8F3C209CD27B54BE,8596B8966E54921F40A9D7E9B815CAEB,2023-05-22 00:00:00,003,氮氧化物,111.427,150,,0,0,2023-05-23T12:35:06.46,2023-05-23T12:35:06.46,20230522
8596B8966E54921F8F3C209CD27B54BE,8596B8966E54921F40A9D7E9B815CAEB,2023-05-22 00:00:00,004,一氧化碳,0.391,80,,0,0,2023-05-23T12:35:06.46,2023-05-23T12:35:06.46,20230522
8596B8966E54921F8F3C209CD27B54BE,8596B8966E54921F40A9D7E9B815CAEB,2023-05-22 00:00:00,008,氯化氢,6.977,20,,0,0,2023-05-23T12:35:06.46,2023-05-23T12:35:06.46,20230522
