ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
8F3EAC9171F405F41859F6CDFED36A7B,8F3EAC9171F405F44C7391D7018CA876,2023-05-14 00:00:00,001,颗粒物,10.405,20,,0,0,2023-05-15T12:35:07.017,2023-05-16T14:31:02.553,20230514
8F3EAC9171F405F41859F6CDFED36A7B,8F3EAC9171F405F44C7391D7018CA876,2023-05-14 00:00:00,002,二氧化硫,25.291,80,,0,0,2023-05-15T12:35:07.013,2023-05-16T14:31:02.553,20230514
8F3EAC9171F405F41859F6CDFED36A7B,8F3EAC9171F405F44C7391D7018CA876,2023-05-14 00:00:00,003,氮氧化物,206.495,250,,0,0,2023-05-15T12:35:07.013,2023-05-16T14:31:02.553,20230514
8F3EAC9171F405F41859F6CDFED36A7B,8F3EAC9171F405F44C7391D7018CA876,2023-05-14 00:00:00,004,一氧化碳,14.439,80,,0,0,2023-05-15T12:35:07.017,2023-05-16T14:31:02.553,20230514
8F3EAC9171F405F41859F6CDFED36A7B,8F3EAC9171F405F44C7391D7018CA876,2023-05-14 00:00:00,008,氯化氢,22.906,50,,0,0,2023-05-15T12:35:07.017,2023-05-16T14:31:02.553,20230514
8F3EAC9171F405F41859F6CDFED36A7B,8F3EAC9171F405F4C156AA88FD972C91,2023-05-14 00:00:00,001,颗粒物,,20,,0,0,2023-05-15T12:35:07.023,2023-05-16T14:31:02.553,20230514
8F3EAC9171F405F41859F6CDFED36A7B,8F3EAC9171F405F4C156AA88FD972C91,2023-05-14 00:00:00,002,二氧化硫,,80,,0,0,2023-05-15T12:35:07.023,2023-05-16T14:31:02.553,20230514
8F3EAC9171F405F41859F6CDFED36A7B,8F3EAC9171F405F4C156AA88FD972C91,2023-05-14 00:00:00,003,氮氧化物,,250,,0,0,2023-05-15T12:35:07.023,2023-05-16T14:31:02.553,20230514
8F3EAC9171F405F41859F6CDFED36A7B,8F3EAC9171F405F4C156AA88FD972C91,2023-05-14 00:00:00,004,一氧化碳,,80,,0,0,2023-05-15T12:35:07.023,2023-05-16T14:31:02.553,20230514
8F3EAC9171F405F41859F6CDFED36A7B,8F3EAC9171F405F4C156AA88FD972C91,2023-05-14 00:00:00,008,氯化氢,,50,,0,0,2023-05-15T12:35:07.023,2023-05-16T14:31:02.553,20230514
8F3EAC9171F405F41859F6CDFED36A7B,8F3EAC9171F405F45D174B1E05364F82,2023-05-14 00:00:00,001,颗粒物,11.702,20,,0,0,2023-05-15T12:35:06.707,2023-05-16T14:31:02.553,20230514
8F3EAC9171F405F41859F6CDFED36A7B,8F3EAC9171F405F45D174B1E05364F82,2023-05-14 00:00:00,002,二氧化硫,8.92,80,,0,0,2023-05-15T12:35:06.703,2023-05-16T14:31:02.553,20230514
8F3EAC9171F405F41859F6CDFED36A7B,8F3EAC9171F405F45D174B1E05364F82,2023-05-14 00:00:00,003,氮氧化物,220.473,250,,0,0,2023-05-15T12:35:06.703,2023-05-16T14:31:02.553,20230514
8F3EAC9171F405F41859F6CDFED36A7B,8F3EAC9171F405F45D174B1E05364F82,2023-05-14 00:00:00,004,一氧化碳,2.943,80,,0,0,2023-05-15T12:35:06.707,2023-05-16T14:31:02.553,20230514
8F3EAC9171F405F41859F6CDFED36A7B,8F3EAC9171F405F45D174B1E05364F82,2023-05-14 00:00:00,008,氯化氢,10.757,50,,0,0,2023-05-15T12:35:06.707,2023-05-16T14:31:02.553,20230514
