ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECCCFA77BEC883A2BD9,2023-05-16 00:00:00,001,颗粒物,0.059,20,,0,0,2023-05-17T12:35:08.393,2023-05-18T14:30:23.443,20230516
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECCCFA77BEC883A2BD9,2023-05-16 00:00:00,002,二氧化硫,28.256,80,,0,0,2023-05-17T12:35:08.393,2023-05-18T14:30:23.443,20230516
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECCCFA77BEC883A2BD9,2023-05-16 00:00:00,003,氮氧化物,102.832,250,,0,0,2023-05-17T12:35:08.393,2023-05-18T14:30:23.443,20230516
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECCCFA77BEC883A2BD9,2023-05-16 00:00:00,004,一氧化碳,0.941,80,,0,0,2023-05-17T12:35:08.393,2023-05-18T14:30:23.443,20230516
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECCCFA77BEC883A2BD9,2023-05-16 00:00:00,008,氯化氢,9.302,50,,0,0,2023-05-17T12:35:08.397,2023-05-18T14:30:23.443,20230516
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECC0153AAEB877FA0F2,2023-05-16 00:00:00,001,颗粒物,0.172,20,,0,0,2023-05-17T12:35:08.433,2023-05-18T14:30:23.443,20230516
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECC0153AAEB877FA0F2,2023-05-16 00:00:00,002,二氧化硫,24.508,80,,0,0,2023-05-17T12:35:08.433,2023-05-18T14:30:23.443,20230516
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECC0153AAEB877FA0F2,2023-05-16 00:00:00,003,氮氧化物,95.669,250,,0,0,2023-05-17T12:35:08.433,2023-05-18T14:30:23.443,20230516
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECC0153AAEB877FA0F2,2023-05-16 00:00:00,004,一氧化碳,2.803,80,,0,0,2023-05-17T12:35:08.433,2023-05-18T14:30:23.443,20230516
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECC0153AAEB877FA0F2,2023-05-16 00:00:00,008,氯化氢,7.887,50,,0,0,2023-05-17T12:35:08.433,2023-05-18T14:30:23.443,20230516
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECC34F275EA918D4813,2023-05-16 00:00:00,001,颗粒物,,20,,0,0,2023-05-17T12:35:08.25,2023-05-18T14:30:23.443,20230516
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECC34F275EA918D4813,2023-05-16 00:00:00,002,二氧化硫,,80,,0,0,2023-05-17T12:35:08.253,2023-05-18T14:30:23.443,20230516
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECC34F275EA918D4813,2023-05-16 00:00:00,003,氮氧化物,,250,,0,0,2023-05-17T12:35:08.253,2023-05-18T14:30:23.443,20230516
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECC34F275EA918D4813,2023-05-16 00:00:00,004,一氧化碳,,80,,0,0,2023-05-17T12:35:08.253,2023-05-18T14:30:23.443,20230516
9DFF3FA6740ECECC9AB11CD7D097C24F,9DFF3FA6740ECECC34F275EA918D4813,2023-05-16 00:00:00,008,氯化氢,,50,,0,0,2023-05-17T12:35:08.253,2023-05-18T14:30:23.443,20230516
