ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
08A06AB7A6A46D545CAFD4F3291FFEE9,08A06AB7A6A46D54631BA008FB0AAF05,2023-05-15 00:00:00,001,颗粒物,4.415,20,,0,0,2023-05-16T12:35:05.81,2023-05-17T14:30:31.273,20230515
08A06AB7A6A46D545CAFD4F3291FFEE9,08A06AB7A6A46D54631BA008FB0AAF05,2023-05-15 00:00:00,002,二氧化硫,32.539,80,,0,0,2023-05-16T12:35:05.81,2023-05-17T14:30:31.273,20230515
08A06AB7A6A46D545CAFD4F3291FFEE9,08A06AB7A6A46D54631BA008FB0AAF05,2023-05-15 00:00:00,003,氮氧化物,193.765,250,,0,0,2023-05-16T12:35:05.81,2023-05-17T14:30:31.273,20230515
08A06AB7A6A46D545CAFD4F3291FFEE9,08A06AB7A6A46D54631BA008FB0AAF05,2023-05-15 00:00:00,004,一氧化碳,8.477,80,,0,0,2023-05-16T12:35:05.81,2023-05-17T14:30:31.273,20230515
08A06AB7A6A46D545CAFD4F3291FFEE9,08A06AB7A6A46D54631BA008FB0AAF05,2023-05-15 00:00:00,008,氯化氢,12.687,50,,0,0,2023-05-16T12:35:05.81,2023-05-17T14:30:31.273,20230515
08A06AB7A6A46D545CAFD4F3291FFEE9,08A06AB7A6A46D54DA8EF0DC82FFEBB3,2023-05-15 00:00:00,001,颗粒物,4.635,20,,0,0,2023-05-16T12:35:05.7,2023-05-17T14:30:31.273,20230515
08A06AB7A6A46D545CAFD4F3291FFEE9,08A06AB7A6A46D54DA8EF0DC82FFEBB3,2023-05-15 00:00:00,002,二氧化硫,36.346,80,,0,0,2023-05-16T12:35:05.7,2023-05-17T14:30:31.273,20230515
08A06AB7A6A46D545CAFD4F3291FFEE9,08A06AB7A6A46D54DA8EF0DC82FFEBB3,2023-05-15 00:00:00,003,氮氧化物,186.593,250,,0,0,2023-05-16T12:35:05.703,2023-05-17T14:30:31.273,20230515
08A06AB7A6A46D545CAFD4F3291FFEE9,08A06AB7A6A46D54DA8EF0DC82FFEBB3,2023-05-15 00:00:00,004,一氧化碳,8.641,80,,0,0,2023-05-16T12:35:05.703,2023-05-17T14:30:31.273,20230515
08A06AB7A6A46D545CAFD4F3291FFEE9,08A06AB7A6A46D54DA8EF0DC82FFEBB3,2023-05-15 00:00:00,008,氯化氢,19.69,50,,0,0,2023-05-16T12:35:05.703,2023-05-17T14:30:31.273,20230515
