ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
8609CB94471AA9B6D051E9016ABD86E2,8609CB94471AA9B65C497F65E6ACBE17,2023-05-21 00:00:00,001,颗粒物,0.737,20,,0,0,2023-05-22T12:35:08.517,2023-05-23T14:39:32.487,20230521
8609CB94471AA9B6D051E9016ABD86E2,8609CB94471AA9B65C497F65E6ACBE17,2023-05-21 00:00:00,002,二氧化硫,58.501,80,,0,0,2023-05-22T12:35:08.52,2023-05-23T14:39:32.487,20230521
8609CB94471AA9B6D051E9016ABD86E2,8609CB94471AA9B65C497F65E6ACBE17,2023-05-21 00:00:00,003,氮氧化物,122.301,150,,0,0,2023-05-22T12:35:08.52,2023-05-23T14:39:32.487,20230521
8609CB94471AA9B6D051E9016ABD86E2,8609CB94471AA9B65C497F65E6ACBE17,2023-05-21 00:00:00,004,一氧化碳,1.127,80,,0,0,2023-05-22T12:35:08.52,2023-05-23T14:39:32.487,20230521
8609CB94471AA9B6D051E9016ABD86E2,8609CB94471AA9B65C497F65E6ACBE17,2023-05-21 00:00:00,008,氯化氢,32.217,50,,0,0,2023-05-22T12:35:08.52,2023-05-23T14:39:32.487,20230521
8609CB94471AA9B6D051E9016ABD86E2,8609CB94471AA9B6FA625BC80175546B,2023-05-21 00:00:00,001,颗粒物,1.22,20,,0,0,2023-05-22T12:35:08.807,2023-05-23T14:39:32.487,20230521
8609CB94471AA9B6D051E9016ABD86E2,8609CB94471AA9B6FA625BC80175546B,2023-05-21 00:00:00,002,二氧化硫,51.678,80,,0,0,2023-05-22T12:35:08.807,2023-05-23T14:39:32.487,20230521
8609CB94471AA9B6D051E9016ABD86E2,8609CB94471AA9B6FA625BC80175546B,2023-05-21 00:00:00,003,氮氧化物,116.316,150,,0,0,2023-05-22T12:35:08.81,2023-05-23T14:39:32.487,20230521
8609CB94471AA9B6D051E9016ABD86E2,8609CB94471AA9B6FA625BC80175546B,2023-05-21 00:00:00,004,一氧化碳,2.18,80,,0,0,2023-05-22T12:35:08.81,2023-05-23T14:39:32.487,20230521
8609CB94471AA9B6D051E9016ABD86E2,8609CB94471AA9B6FA625BC80175546B,2023-05-21 00:00:00,008,氯化氢,35.596,50,,0,0,2023-05-22T12:35:08.81,2023-05-23T14:39:32.487,20230521
