ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6690335FF54F5021A,2023-05-07 00:00:00,001,颗粒物,2.08,20,,0,0,2023-05-08T12:35:05.52,2023-05-09T14:30:25.09,20230507
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6690335FF54F5021A,2023-05-07 00:00:00,002,二氧化硫,15.36,80,,0,0,2023-05-08T12:35:05.523,2023-05-09T14:30:25.09,20230507
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6690335FF54F5021A,2023-05-07 00:00:00,003,氮氧化物,98.52,150,,0,0,2023-05-08T12:35:05.523,2023-05-09T14:30:25.09,20230507
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6690335FF54F5021A,2023-05-07 00:00:00,004,一氧化碳,6.357,80,,0,0,2023-05-08T12:35:05.523,2023-05-09T14:30:25.09,20230507
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6690335FF54F5021A,2023-05-07 00:00:00,008,氯化氢,4.351,50,,0,0,2023-05-08T12:35:05.523,2023-05-09T14:30:25.09,20230507
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6B26D5C6498C26F43,2023-05-07 00:00:00,001,颗粒物,,20,,0,0,2023-05-08T12:35:05.48,2023-05-09T14:30:25.09,20230507
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6B26D5C6498C26F43,2023-05-07 00:00:00,002,二氧化硫,,80,,0,0,2023-05-08T12:35:05.48,2023-05-09T14:30:25.09,20230507
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6B26D5C6498C26F43,2023-05-07 00:00:00,003,氮氧化物,,150,,0,0,2023-05-08T12:35:05.48,2023-05-09T14:30:25.09,20230507
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6B26D5C6498C26F43,2023-05-07 00:00:00,004,一氧化碳,,80,,0,0,2023-05-08T12:35:05.48,2023-05-09T14:30:25.09,20230507
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6B26D5C6498C26F43,2023-05-07 00:00:00,008,氯化氢,,50,,0,0,2023-05-08T12:35:05.48,2023-05-09T14:30:25.09,20230507
