ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
32852A2A43E8C0033BD256C5BFD334A9,32852A2A43E8C0036825E4065F61D3BC,2023-05-18 00:00:00,001,颗粒物,1.014,20,,0,0,2023-05-19T12:35:09.837,2023-05-19T12:35:09.837,20230518
32852A2A43E8C0033BD256C5BFD334A9,32852A2A43E8C0036825E4065F61D3BC,2023-05-18 00:00:00,002,二氧化硫,56.128,80,,0,0,2023-05-19T12:35:09.837,2023-05-19T12:35:09.837,20230518
32852A2A43E8C0033BD256C5BFD334A9,32852A2A43E8C0036825E4065F61D3BC,2023-05-18 00:00:00,003,氮氧化物,155.509,250,,0,0,2023-05-19T12:35:09.837,2023-05-19T12:35:09.837,20230518
32852A2A43E8C0033BD256C5BFD334A9,32852A2A43E8C0036825E4065F61D3BC,2023-05-18 00:00:00,004,一氧化碳,6.315,80,,0,0,2023-05-19T12:35:09.837,2023-05-19T12:35:09.837,20230518
32852A2A43E8C0033BD256C5BFD334A9,32852A2A43E8C0036825E4065F61D3BC,2023-05-18 00:00:00,008,氯化氢,17.71,50,,0,0,2023-05-19T12:35:09.837,2023-05-19T12:35:09.837,20230518
32852A2A43E8C0033BD256C5BFD334A9,32852A2A43E8C0036144E7E5BA7D4FD5,2023-05-18 00:00:00,001,颗粒物,,20,,0,0,2023-05-19T12:35:09.8,2023-05-20T14:31:01.413,20230518
32852A2A43E8C0033BD256C5BFD334A9,32852A2A43E8C0036144E7E5BA7D4FD5,2023-05-18 00:00:00,002,二氧化硫,,80,,0,0,2023-05-19T12:35:09.8,2023-05-20T14:31:01.413,20230518
32852A2A43E8C0033BD256C5BFD334A9,32852A2A43E8C0036144E7E5BA7D4FD5,2023-05-18 00:00:00,003,氮氧化物,,250,,0,0,2023-05-19T12:35:09.8,2023-05-20T14:31:01.413,20230518
32852A2A43E8C0033BD256C5BFD334A9,32852A2A43E8C0036144E7E5BA7D4FD5,2023-05-18 00:00:00,004,一氧化碳,,80,,0,0,2023-05-19T12:35:09.803,2023-05-20T14:31:01.413,20230518
32852A2A43E8C0033BD256C5BFD334A9,32852A2A43E8C0036144E7E5BA7D4FD5,2023-05-18 00:00:00,008,氯化氢,,50,,0,0,2023-05-19T12:35:09.803,2023-05-20T14:31:01.413,20230518
32852A2A43E8C0033BD256C5BFD334A9,32852A2A43E8C003AEB8C9295F311586,2023-05-18 00:00:00,001,颗粒物,,20,,0,0,2023-05-19T12:35:09.83,2023-05-20T14:31:01.413,20230518
32852A2A43E8C0033BD256C5BFD334A9,32852A2A43E8C003AEB8C9295F311586,2023-05-18 00:00:00,002,二氧化硫,,80,,0,0,2023-05-19T12:35:09.83,2023-05-20T14:31:01.413,20230518
32852A2A43E8C0033BD256C5BFD334A9,32852A2A43E8C003AEB8C9295F311586,2023-05-18 00:00:00,003,氮氧化物,,250,,0,0,2023-05-19T12:35:09.83,2023-05-20T14:31:01.413,20230518
32852A2A43E8C0033BD256C5BFD334A9,32852A2A43E8C003AEB8C9295F311586,2023-05-18 00:00:00,004,一氧化碳,,80,,0,0,2023-05-19T12:35:09.833,2023-05-20T14:31:01.413,20230518
32852A2A43E8C0033BD256C5BFD334A9,32852A2A43E8C003AEB8C9295F311586,2023-05-18 00:00:00,008,氯化氢,,50,,0,0,2023-05-19T12:35:09.833,2023-05-20T14:31:01.413,20230518
32852A2A43E8C0033BD256C5BFD334A9,32852A2A43E8C003E0042002BA3860A0,2023-05-18 00:00:00,001,颗粒物,,20,CEMS维护,0,0,2023-05-19T12:35:10.06,2023-05-20T14:31:01.413,20230518
32852A2A43E8C0033BD256C5BFD334A9,32852A2A43E8C003E0042002BA3860A0,2023-05-18 00:00:00,002,二氧化硫,,80,CEMS维护,0,0,2023-05-19T12:35:10.06,2023-05-20T14:31:01.413,20230518
32852A2A43E8C0033BD256C5BFD334A9,32852A2A43E8C003E0042002BA3860A0,2023-05-18 00:00:00,003,氮氧化物,,250,CEMS维护,0,0,2023-05-19T12:35:10.06,2023-05-20T14:31:01.413,20230518
32852A2A43E8C0033BD256C5BFD334A9,32852A2A43E8C003E0042002BA3860A0,2023-05-18 00:00:00,004,一氧化碳,,80,CEMS维护,0,0,2023-05-19T12:35:10.06,2023-05-20T14:31:01.413,20230518
32852A2A43E8C0033BD256C5BFD334A9,32852A2A43E8C003E0042002BA3860A0,2023-05-18 00:00:00,008,氯化氢,,50,CEMS维护,0,0,2023-05-19T12:35:10.06,2023-05-20T14:31:01.413,20230518
