ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C4157C70B26751D47BD3,2023-05-15 00:00:00,001,颗粒物,0.807,20,CEMS维护,0,0,2023-05-16T12:35:08.87,2023-05-24T14:30:48.013,20230515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C4157C70B26751D47BD3,2023-05-15 00:00:00,002,二氧化硫,53.788,80,CEMS维护,0,0,2023-05-16T12:35:08.87,2023-05-24T14:30:48.013,20230515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C4157C70B26751D47BD3,2023-05-15 00:00:00,003,氮氧化物,159.433,250,CEMS维护,0,0,2023-05-16T12:35:08.87,2023-05-24T14:30:48.013,20230515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C4157C70B26751D47BD3,2023-05-15 00:00:00,004,一氧化碳,0.592,80,CEMS维护,0,0,2023-05-16T12:35:08.87,2023-05-24T14:30:48.013,20230515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C4157C70B26751D47BD3,2023-05-15 00:00:00,008,氯化氢,7.855,50,CEMS维护,0,0,2023-05-16T12:35:08.87,2023-05-24T14:30:48.013,20230515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C41507BE3DA81C682574,2023-05-15 00:00:00,001,颗粒物,0.933,20,CEMS维护,0,0,2023-05-16T12:35:08.86,2023-05-24T14:30:48.013,20230515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C41507BE3DA81C682574,2023-05-15 00:00:00,002,二氧化硫,52.519,80,CEMS维护,0,0,2023-05-16T12:35:08.86,2023-05-24T14:30:48.013,20230515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C41507BE3DA81C682574,2023-05-15 00:00:00,003,氮氧化物,161.328,250,CEMS维护,0,0,2023-05-16T12:35:08.86,2023-05-24T14:30:48.013,20230515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C41507BE3DA81C682574,2023-05-15 00:00:00,004,一氧化碳,2.401,80,CEMS维护,0,0,2023-05-16T12:35:08.86,2023-05-24T14:30:48.013,20230515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C41507BE3DA81C682574,2023-05-15 00:00:00,008,氯化氢,6.897,50,CEMS维护,0,0,2023-05-16T12:35:08.86,2023-05-24T14:30:48.013,20230515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C415DD8D5D9CE0713E40,2023-05-15 00:00:00,001,颗粒物,2.168,20,CEMS维护,0,0,2023-05-16T12:35:08.857,2023-05-24T14:30:48.013,20230515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C415DD8D5D9CE0713E40,2023-05-15 00:00:00,002,二氧化硫,51.619,80,CEMS维护,0,0,2023-05-16T12:35:08.857,2023-05-24T14:30:48.013,20230515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C415DD8D5D9CE0713E40,2023-05-15 00:00:00,003,氮氧化物,157.074,250,CEMS维护,0,0,2023-05-16T12:35:08.86,2023-05-24T14:30:48.013,20230515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C415DD8D5D9CE0713E40,2023-05-15 00:00:00,004,一氧化碳,0.789,80,CEMS维护,0,0,2023-05-16T12:35:08.86,2023-05-24T14:30:48.013,20230515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C415DD8D5D9CE0713E40,2023-05-15 00:00:00,008,氯化氢,6.121,50,CEMS维护,0,0,2023-05-16T12:35:08.86,2023-05-24T14:30:48.013,20230515
