ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
F3E34C08C5C84F5A21C88F8B8E380618,F3E34C08C5C84F5AB955F0B75573B002,2023-05-19 00:00:00,001,颗粒物,3.186,20,,0,0,2023-05-20T12:35:04.91,2023-05-21T14:30:22.987,20230519
F3E34C08C5C84F5A21C88F8B8E380618,F3E34C08C5C84F5AB955F0B75573B002,2023-05-19 00:00:00,002,二氧化硫,28.588,80,,0,0,2023-05-20T12:35:04.91,2023-05-21T14:30:22.987,20230519
F3E34C08C5C84F5A21C88F8B8E380618,F3E34C08C5C84F5AB955F0B75573B002,2023-05-19 00:00:00,003,氮氧化物,88.527,250,,0,0,2023-05-20T12:35:04.91,2023-05-21T14:30:22.987,20230519
F3E34C08C5C84F5A21C88F8B8E380618,F3E34C08C5C84F5AB955F0B75573B002,2023-05-19 00:00:00,004,一氧化碳,0.191,80,,0,0,2023-05-20T12:35:04.91,2023-05-21T14:30:22.987,20230519
F3E34C08C5C84F5A21C88F8B8E380618,F3E34C08C5C84F5AB955F0B75573B002,2023-05-19 00:00:00,008,氯化氢,3.684,50,,0,0,2023-05-20T12:35:04.91,2023-05-21T14:30:22.987,20230519
F3E34C08C5C84F5A21C88F8B8E380618,F3E34C08C5C84F5AC3FF26681DE28504,2023-05-19 00:00:00,001,颗粒物,1.991,20,,0,0,2023-05-20T12:35:04.93,2023-05-21T14:30:22.987,20230519
F3E34C08C5C84F5A21C88F8B8E380618,F3E34C08C5C84F5AC3FF26681DE28504,2023-05-19 00:00:00,002,二氧化硫,26.398,80,,0,0,2023-05-20T12:35:04.93,2023-05-21T14:30:22.987,20230519
F3E34C08C5C84F5A21C88F8B8E380618,F3E34C08C5C84F5AC3FF26681DE28504,2023-05-19 00:00:00,003,氮氧化物,87.732,250,,0,0,2023-05-20T12:35:04.93,2023-05-21T14:30:22.987,20230519
F3E34C08C5C84F5A21C88F8B8E380618,F3E34C08C5C84F5AC3FF26681DE28504,2023-05-19 00:00:00,004,一氧化碳,0.097,80,,0,0,2023-05-20T12:35:04.93,2023-05-21T14:30:22.987,20230519
F3E34C08C5C84F5A21C88F8B8E380618,F3E34C08C5C84F5AC3FF26681DE28504,2023-05-19 00:00:00,008,氯化氢,6.011,50,,0,0,2023-05-20T12:35:04.93,2023-05-21T14:30:22.987,20230519
